"power","time","gas","pressure","target","campaign","initial"
2069,18445,"Argon",830,3.506275931,1,TRUE
2170,1822,"Argon",490,4.492517368,1,TRUE
2678,4279,"Argon",920,3.469132884,1,TRUE
3063,4467,"Argon",570,2.715672837,1,TRUE
3099,18787,"Argon",910,3.030713929,1,TRUE
4060,9988,"Argon",270,1.75390913,1,TRUE
4431,3854,"Argon",270,2.147663802,1,TRUE
4585,14485,"Nitrogen",100,1.137538466,1,TRUE
5069,2735,"Nitrogen",480,1.965617122,1,TRUE
5239,14517,"Nitrogen",230,1.202571298,1,TRUE
4564,18002,"Air",50,0.12,1,TRUE
2697,8206,"Air",540,0.12,1,TRUE
1537,6043,"Air",70,0.12,1,TRUE
1105,12381,"Air",860,0.12,1,TRUE
5321,16727,"Air",510,0.12,1,TRUE
3584,1131,"Air",20,0.12,1,TRUE
1511,16433,"Air",500,0.12,1,TRUE
1883,16859,"Air",990,0.12,1,TRUE
3302,2414,"Air",860,0.12,1,TRUE
5153,19318,"Air",780,0.12,1,TRUE
2064,1866,"Argon",490,4.114701023,1,FALSE
1974,1510,"Argon",490,3.90042749,1,FALSE
1948,1826,"Argon",490,3.152397296,1,FALSE
2023,18317,"Argon",830,2.969515665,1,FALSE
2629,1382,"Argon",10,2.915225167,1,FALSE
1803,5404,"Argon",920,4.812480961,1,FALSE
1671,5400,"Argon",950,4.387375038,1,FALSE
1742,5723,"Argon",930,4.920606969,1,FALSE
1658,5874,"Argon",930,3.563517542,1,FALSE
1666,5758,"Argon",970,3.891980977,1,FALSE
1595,6235,"Argon",960,3.486360802,1,FALSE
1827,4988,"Argon",920,4.055736561,1,FALSE
1805,5729,"Argon",940,5.265483216,1,FALSE
1816,5736,"Argon",980,4.228533303,1,FALSE
1876,5729,"Argon",1000,3.5394345,1,FALSE
735,5621,"Argon",940,2.079347439,1,FALSE
1883,17525,"Argon",990,2.853297212,1,FALSE
1785,5533,"Argon",940,3.42947802,1,FALSE
1556,5965,"Argon",10,3.050680277,1,FALSE
1539,6296,"Argon",490,3.498314658,1,FALSE
1738,540,"Nitrogen",900,1.662139133,1,FALSE
1638,4849,"Nitrogen",900,1.536073336,1,FALSE
1532,6164,"Argon",930,4.799764372,1,FALSE
1522,6120,"Argon",930,4.274477138,1,FALSE
532,5648,"Argon",940,1.981552577,1,FALSE
2711,8017,"Argon",500,2.757680511,1,FALSE
1533,6195,"Argon",930,3.927200829,1,FALSE
3232,2327,"Argon",900,3.237944549,1,FALSE
2700,8120,"Argon",530,2.744454834,1,FALSE
3258,1880,"Argon",930,4.634291536,1,FALSE
3268,2098,"Argon",930,5.023732778,1,FALSE
3284,1592,"Argon",930,4.269969894,1,FALSE
3292,2065,"Argon",930,3.998950986,1,FALSE
3319,1189,"Argon",970,4.076182759,1,FALSE
3441,1201,"Argon",930,3.349299285,1,FALSE
3441,1201,"Argon",930,3.3133918,1,FALSE
3563,1014,"Argon",480,2.602706005,1,FALSE
1126,5641,"Argon",950,4.567042655,1,FALSE
974,5636,"Argon",950,3.683634312,1,FALSE
830,5641,"Argon",940,2.122228703,1,FALSE
3310,2372,"Argon",830,4.248665627,1,FALSE
1121,5639,"Argon",950,3.308179516,1,FALSE
3370,2371,"Argon",710,4.051745854,1,FALSE
921,2393,"Argon",940,3.188453174,1,FALSE
3748,1117,"Argon",720,3.682272983,1,FALSE
3304,2436,"Argon",860,4.358145243,1,FALSE
3822,2382,"Argon",650,2.332770483,1,FALSE
3614,1134,"Argon",970,4.070860248,1,FALSE
3076,8541,"Argon",760,2.255326944,1,FALSE
899,605,"Argon",820,3.369110502,1,FALSE
3613,10766,"Argon",600,2.449581875,2,TRUE
