"power","time","gas","pressure","target","campaign","initial"
2170,1822,"Argon",490,2.164596288,1,TRUE
2069,18445,"Argon",830,1.311588701,1,TRUE
3063,4467,"Argon",570,1.506054899,1,TRUE
4060,9988,"Argon",270,1.749203774,1,TRUE
2678,4279,"Argon",920,1.747805859,1,TRUE
3099,18787,"Argon",910,1.587991226,1,TRUE
4431,3854,"Argon",270,2.574391023,1,TRUE
5239,14517,"Nitrogen",230,1.709504405,1,TRUE
4585,14485,"Nitrogen",1000,1.646495202,1,TRUE
5069,2735,"Nitrogen",480,1.80933673,1,TRUE
3584,1131,"Air",20,1.222288448,1,TRUE
4564,18002,"Air",50,1.179406971,1,TRUE
1537,6043,"Air",70,1.109779529,1,TRUE
2697,8206,"Air",540,0,1,TRUE
1105,12381,"Air",860,0,1,TRUE
5321,16727,"Air",510,0,1,TRUE
1511,16433,"Air",500,0,1,TRUE
1883,16859,"Air",990,0,1,TRUE
3302,2414,"Air",860,0,1,TRUE
5153,19318,"Air",780,0,1,TRUE
4325,3384,"Argon",260,1.830219592,1,FALSE
4288,3317,"Argon",330,1.945945988,1,FALSE
5541,3918,"Argon",290,1.867738315,1,FALSE
4491,3327,"Argon",300,1.956022176,1,FALSE
4325,3327,"Argon",370,1.871219493,1,FALSE
2159,1795,"Argon",490,1.972045841,1,FALSE
2258,1578,"Argon",490,1.638127153,1,FALSE
4315,3904,"Argon",260,1.958426327,1,FALSE
4317,3311,"Argon",370,1.629505096,1,FALSE
4326,4041,"Argon",340,2.22292658,1,FALSE
4437,3322,"Argon",370,2.545561735,1,FALSE
4267,4015,"Argon",370,2.228305042,1,FALSE
4320,3303,"Argon",340,2.157291402,1,FALSE
2201,1752,"Argon",490,1.820200009,1,FALSE
4265,3299,"Argon",390,1.713611055,1,FALSE
1945,2113,"Argon",500,2.162882186,1,FALSE
1854,1815,"Argon",470,2.341603704,1,FALSE
1696,2206,"Argon",440,1.698681008,1,FALSE
4380,3862,"Argon",280,1.873571266,1,FALSE
4408,3623,"Argon",270,2.124051017,1,FALSE
2188,2858,"Argon",880,1.331626512,1,FALSE
1922,2139,"Argon",500,1.72687692,1,FALSE
1517,1976,"Argon",500,1.63669468,1,FALSE
1456,15566,"Argon",500,1.132972773,1,FALSE
4938,3323,"Argon",360,1.846351998,1,FALSE
4420,3791,"Argon",270,2.332219693,1,FALSE
4464,2323,"Argon",870,1.786815477,1,FALSE
4448,3322,"Argon",380,1.820946727,1,FALSE
3283,4094,"Argon",960,1.244091502,1,FALSE
5064,3846,"Argon",160,3.06509128,1,FALSE
5063,3850,"Argon",120,3.539094497,1,FALSE
5001,3851,"Argon",100,3.345412445,1,FALSE
4976,3852,"Argon",90,2.789266881,1,FALSE
5063,3851,"Argon",190,2.322238284,1,FALSE
5109,3850,"Argon",20,1.915673933,1,FALSE
5059,3850,"Argon",150,2.763470446,1,FALSE
5062,3849,"Argon",60,1.98028031,1,FALSE
5063,3850,"Argon",100,2.586885849,1,FALSE
5066,3820,"Argon",170,2.906536085,1,FALSE
4997,3851,"Argon",120,3.32523933,1,FALSE
5143,3839,"Nitrogen",120,1.675361779,1,FALSE
5065,5890,"Argon",150,2.057259278,1,FALSE
5067,3825,"Argon",180,2.797097734,1,FALSE
4855,3844,"Argon",120,2.746007978,1,FALSE
4730,6025,"Argon",80,2.853294655,1,FALSE
5030,5980,"Argon",80,2.586202052,1,FALSE
4665,6034,"Argon",110,3.444862627,1,FALSE
4745,6035,"Argon",110,2.764403209,1,FALSE
4655,6980,"Argon",110,2.179375252,1,FALSE
4663,6030,"Argon",110,3.07578922,1,FALSE
