"power","time","gas","pressure","target","campaign","initial"
4564,18002,"Air",50,0.12,1,TRUE
2697,8206,"Air",540,0.12,1,TRUE
2069,18445,"Argon",830,2.985552758,1,TRUE
5239,14517,"Nitrogen",230,1.19774686,1,TRUE
3063,4467,"Argon",570,2.613552957,1,TRUE
1537,6043,"Air",70,0.921751931,1,TRUE
4060,9988,"Argon",270,1.32755134,1,TRUE
2678,4279,"Argon",920,3.613608221,1,TRUE
1105,12381,"Air",860,0.12,1,TRUE
5321,16727,"Air",510,0.12,1,TRUE
3584,1131,"Air",20,0.57836145,1,TRUE
1511,16433,"Air",500,0.12,1,TRUE
3099,18787,"Argon",910,2.271008185,1,TRUE
1883,16859,"Air",990,0.12,1,TRUE
5069,2735,"Nitrogen",480,1.419028259,1,TRUE
3302,2414,"Air",860,0.12,1,TRUE
5153,19318,"Air",780,0.12,1,TRUE
4431,3854,"Argon",270,2.190961,1,TRUE
2170,1822,"Argon",490,5.203238087,1,TRUE
4585,14485,"Nitrogen",100,1.174840469,1,TRUE
2274,1983,"Argon",490,3.215536504,1,FALSE
2035,1491,"Argon",490,3.72323823,1,FALSE
2073,1840,"Argon",490,2.595710184,1,FALSE
2168,1825,"Argon",490,4.024224557,1,FALSE
2222,1747,"Argon",490,3.453268783,1,FALSE
1789,1792,"Argon",500,3.177328601,1,FALSE
2687,2822,"Argon",930,2.982047036,1,FALSE
2673,1818,"Argon",690,3.812412746,1,FALSE
2170,1830,"Argon",470,3.827207228,1,FALSE
1780,5333,"Argon",960,2.857800965,1,FALSE
2172,1835,"Argon",380,3.433754797,1,FALSE
2141,1099,"Argon",80,3.073853026,1,FALSE
1805,17740,"Argon",970,2.912210568,1,FALSE
2696,1824,"Argon",680,3.59011885,1,FALSE
2166,1815,"Argon",140,3.191922596,1,FALSE
1521,17553,"Argon",820,3.490871423,1,FALSE
1518,17231,"Argon",890,3.308118401,1,FALSE
2765,514,"Argon",490,3.01456403,1,FALSE
1450,15621,"Argon",510,3.05041702,1,FALSE
1975,4268,"Argon",990,3.827582704,1,FALSE
320,2241,"Argon",850,1.414816905,1,FALSE
2009,4227,"Argon",1000,3.680987162,1,FALSE
1286,15717,"Argon",530,2.891256344,1,FALSE
1894,17003,"Argon",990,3.017604271,1,FALSE
1720,1831,"Argon",80,1.682780666,1,FALSE
